               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033084,             0.01483,             0.06202,             0.27565,             0.60614,             0.46386,             0.30891,            0.018643,           0.0048747,            0.035393,            0.006535,            0.006535,            0.006535
                  37,            0.032923,            0.014422,            0.060939,             0.28551,             0.64862,              0.4994,             0.31755,            0.021385,           0.0050985,            0.033426,            0.006436,            0.006436,            0.006436
                  38,            0.033578,            0.014898,            0.059387,             0.26181,             0.61088,             0.49642,             0.31022,            0.021245,            0.004643,            0.032852,            0.006337,            0.006337,            0.006337
                  39,            0.032481,             0.01442,            0.059815,             0.30083,             0.61373,             0.50913,             0.32002,            0.020479,           0.0045683,            0.032492,            0.006238,            0.006238,            0.006238
                  40,            0.031239,            0.014445,            0.057854,             0.43854,             0.51197,             0.50599,             0.33547,            0.021221,           0.0047084,            0.031785,            0.006139,            0.006139,            0.006139
                  41,            0.031396,            0.014509,            0.058245,             0.41623,             0.60623,             0.53085,             0.34319,            0.021745,            0.004724,            0.031564,             0.00604,             0.00604,             0.00604
                  42,            0.030761,            0.014086,             0.05824,              0.3516,             0.65608,             0.56975,             0.40203,            0.018788,           0.0044085,            0.030906,            0.005941,            0.005941,            0.005941
                  43,            0.031505,            0.013682,            0.056071,               0.413,             0.67838,             0.59875,             0.41999,            0.017742,           0.0046378,             0.02998,            0.005842,            0.005842,            0.005842
                  44,            0.031637,            0.013751,            0.055869,             0.45617,             0.60747,             0.59801,             0.42177,            0.018384,           0.0043023,            0.029162,            0.005743,            0.005743,            0.005743
                  45,            0.031435,             0.01395,            0.055127,             0.43631,             0.54719,             0.53996,             0.34388,            0.021866,           0.0046822,            0.030516,            0.005644,            0.005644,            0.005644
                  46,            0.030682,            0.013737,            0.055127,             0.36419,              0.6283,             0.59307,             0.41552,            0.018271,           0.0043891,            0.030119,            0.005545,            0.005545,            0.005545
                  47,            0.030247,            0.013695,            0.055471,             0.45781,             0.63913,             0.62275,             0.42083,            0.021349,           0.0044019,            0.028049,            0.005446,            0.005446,            0.005446
                  48,            0.030234,            0.013632,            0.053745,             0.38823,             0.72996,             0.64093,              0.4642,            0.017972,            0.004047,            0.027207,            0.005347,            0.005347,            0.005347
                  49,            0.030126,            0.013218,            0.053143,                0.41,             0.62284,             0.64472,             0.41997,            0.019742,           0.0043264,             0.02817,            0.005248,            0.005248,            0.005248
                  50,             0.03058,            0.013361,            0.053369,              0.3942,             0.72067,             0.68306,             0.49872,            0.017278,           0.0043139,            0.026982,            0.005149,            0.005149,            0.005149
                  51,             0.02971,            0.013627,            0.053344,             0.40113,             0.72311,              0.6622,             0.42755,            0.019903,           0.0041742,            0.028374,             0.00505,             0.00505,             0.00505
                  52,            0.031305,            0.013274,            0.051263,             0.41937,             0.69076,             0.65113,             0.46058,            0.020129,           0.0041908,            0.027078,            0.004951,            0.004951,            0.004951
                  53,            0.030181,             0.01338,            0.051732,             0.51351,             0.58671,             0.67112,             0.46513,            0.019626,           0.0042334,            0.027313,            0.004852,            0.004852,            0.004852
                  54,            0.030033,            0.013021,            0.050448,             0.58035,             0.67732,              0.7194,             0.50512,            0.016329,            0.004324,            0.023567,            0.004753,            0.004753,            0.004753
                  55,            0.029405,            0.013069,            0.050776,             0.63785,             0.63012,             0.68993,             0.49395,            0.020129,           0.0040366,            0.023361,            0.004654,            0.004654,            0.004654
                  56,            0.029201,            0.012849,            0.051196,             0.57588,              0.6889,             0.71335,              0.5067,            0.019128,           0.0040298,            0.024293,            0.004555,            0.004555,            0.004555
                  57,             0.02888,            0.012546,            0.048201,             0.62857,             0.62386,             0.72961,              0.5185,            0.018428,           0.0040174,            0.023546,            0.004456,            0.004456,            0.004456
                  58,            0.029053,            0.013038,            0.049545,             0.63594,             0.63216,             0.72762,             0.55052,            0.017632,           0.0039393,            0.023402,            0.004357,            0.004357,            0.004357
                  59,            0.029325,            0.013122,            0.049904,             0.55818,              0.6589,              0.7097,             0.52346,            0.016097,           0.0040105,            0.023264,            0.004258,            0.004258,            0.004258
                  60,             0.02921,             0.01306,            0.048225,             0.66944,             0.70504,             0.74953,             0.52484,            0.019363,           0.0038739,            0.021655,            0.004159,            0.004159,            0.004159
                  61,            0.029211,            0.012671,             0.04775,             0.63255,             0.68246,             0.76257,              0.5258,            0.018296,           0.0039787,            0.021402,             0.00406,             0.00406,             0.00406
                  62,            0.028301,            0.012508,            0.045967,               0.643,             0.65707,             0.73205,              0.5255,             0.01721,            0.003986,            0.022575,            0.003961,            0.003961,            0.003961
                  63,            0.028317,            0.012677,            0.047814,              0.6293,             0.72819,              0.7837,             0.57086,            0.016406,           0.0036847,            0.020383,            0.003862,            0.003862,            0.003862
                  64,            0.028018,            0.012398,            0.046394,             0.64271,             0.75137,             0.79458,             0.57689,            0.017747,           0.0038144,            0.019749,            0.003763,            0.003763,            0.003763
                  65,            0.028313,            0.012423,            0.046608,             0.73013,             0.68199,              0.7881,             0.59386,            0.016402,           0.0037557,            0.019165,            0.003664,            0.003664,            0.003664
                  66,            0.028497,            0.012382,            0.045323,             0.69482,             0.69893,             0.79278,              0.5878,             0.01638,           0.0037867,            0.019068,            0.003565,            0.003565,            0.003565
                  67,            0.028063,            0.012394,            0.044868,             0.65476,             0.71343,              0.7991,             0.55616,            0.020108,           0.0039327,            0.019717,            0.003466,            0.003466,            0.003466
                  68,            0.027214,            0.012321,            0.044762,             0.68905,             0.66598,             0.78409,             0.54911,            0.017897,           0.0038302,            0.018877,            0.003367,            0.003367,            0.003367
                  69,            0.026854,            0.012325,            0.043898,             0.69928,             0.71984,             0.82178,             0.60971,            0.016392,           0.0037926,              0.0181,            0.003268,            0.003268,            0.003268
                  70,            0.026721,            0.011896,            0.044522,             0.75459,             0.68789,             0.81405,               0.594,             0.01727,           0.0037437,            0.018582,            0.003169,            0.003169,            0.003169
                  71,              0.0273,            0.012294,            0.045076,             0.74367,             0.65674,             0.79802,             0.57155,            0.017886,           0.0037427,            0.018483,             0.00307,             0.00307,             0.00307
                  72,            0.026344,            0.011934,            0.043163,             0.77026,             0.66491,             0.80987,             0.60708,            0.016613,           0.0037183,            0.017583,            0.002971,            0.002971,            0.002971
                  73,            0.026781,            0.012256,            0.042682,             0.75641,             0.70208,             0.82734,             0.61389,            0.016301,           0.0036432,             0.01732,            0.002872,            0.002872,            0.002872
                  74,            0.025933,            0.012191,            0.042124,             0.72209,             0.73154,             0.80919,              0.5784,            0.016317,           0.0036986,             0.01685,            0.002773,            0.002773,            0.002773
                  75,            0.026739,            0.012251,            0.040989,             0.66856,              0.7911,             0.84264,             0.64423,            0.016565,           0.0033645,            0.016767,            0.002674,            0.002674,            0.002674
                  76,            0.025478,            0.012019,            0.040155,             0.72152,              0.7241,               0.831,             0.59832,            0.018592,           0.0035492,            0.016513,            0.002575,            0.002575,            0.002575
                  77,            0.025776,            0.012022,            0.040339,             0.65778,             0.79509,             0.84536,             0.66147,            0.015757,           0.0035418,            0.016057,            0.002476,            0.002476,            0.002476
                  78,            0.025692,            0.011547,            0.040114,             0.73811,             0.69392,             0.82429,             0.60614,            0.017338,           0.0036147,            0.016272,            0.002377,            0.002377,            0.002377
                  79,            0.025255,            0.011711,             0.03963,             0.75456,             0.76306,             0.84189,             0.64733,            0.015566,           0.0034054,             0.01492,            0.002278,            0.002278,            0.002278
                  80,            0.025722,             0.01164,            0.039031,             0.77785,             0.74024,             0.86633,             0.66172,             0.01671,           0.0035513,             0.01368,            0.002179,            0.002179,            0.002179
                  81,            0.024632,            0.011398,            0.038033,             0.75456,              0.7948,             0.86186,              0.6638,            0.015768,           0.0035655,            0.013709,             0.00208,             0.00208,             0.00208
                  82,            0.024617,            0.011643,            0.037855,             0.82886,             0.71304,             0.85449,             0.65145,            0.016049,           0.0034208,            0.014949,            0.001981,            0.001981,            0.001981
                  83,            0.024684,            0.011576,            0.038694,             0.74827,              0.7896,             0.87299,             0.65849,            0.016312,           0.0034518,            0.013506,            0.001882,            0.001882,            0.001882
                  84,            0.024825,            0.011442,            0.037113,             0.74259,             0.78557,             0.85478,             0.62854,            0.016982,           0.0034249,             0.01462,            0.001783,            0.001783,            0.001783
                  85,            0.024907,            0.011188,            0.038768,             0.77522,             0.76844,             0.87322,             0.66648,            0.016636,             0.00345,            0.013816,            0.001684,            0.001684,            0.001684
                  86,            0.024801,            0.011713,            0.036901,             0.68173,             0.79397,             0.84824,             0.64541,            0.015954,           0.0035696,             0.01376,            0.001585,            0.001585,            0.001585
                  87,            0.024166,            0.011476,            0.036162,             0.72483,             0.81111,             0.85656,             0.66492,            0.015566,           0.0034365,            0.013179,            0.001486,            0.001486,            0.001486
